                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.57162,                0.79448,                0.47814,                   1.02,                0.86764,                0.83758,                0.91925,                0.74938,                0.86172,                0.82899,                0.91471,                0.72582,                0.68597,                 1.7519,                0.67702,                 1.2193,              0.0060895,              0.0060895,              0.0060895
                     81,                0.62701,                0.82688,                0.50787,                  1.051,                0.85066,                0.84504,                 0.9186,                0.74275,                0.85789,                 0.8389,                0.90733,                0.71569,                0.68729,                  1.745,                0.67618,                 1.2108,                0.00604,                0.00604,                0.00604
                     82,                0.61354,                0.78119,                0.50786,                  1.047,                0.86378,                0.83903,                0.89438,                0.72984,                0.85513,                0.83074,                0.88384,                0.68818,                0.70811,                 1.7876,                0.72803,                 1.2372,              0.0059905,              0.0059905,              0.0059905
                     83,                0.59572,                0.80227,                0.52317,                 1.0309,                0.90605,                0.86233,                0.92685,                0.75289,                0.89837,                0.85399,                0.91656,                0.73055,                0.73994,                 1.7098,                0.65149,                 1.2442,               0.005941,               0.005941,               0.005941
                     84,                0.58566,                0.81237,                 0.5077,                 1.0286,                0.84216,                0.91437,                0.94323,                0.77449,                0.82391,                0.88937,                0.92539,                0.74208,                0.71742,                 1.9689,                0.63124,                 1.2534,              0.0058915,              0.0058915,              0.0058915
                     85,                0.61051,                0.81454,                0.51217,                 1.0364,                0.83961,                0.82537,                0.88444,                0.69989,                0.84701,                0.83288,                0.88061,                0.67979,                0.74344,                 2.0413,                0.72768,                 1.2889,               0.005842,               0.005842,               0.005842
                     86,                0.59321,                0.77277,                0.51026,                 1.0173,                 0.8244,                0.85608,                0.90595,                 0.7157,                0.82133,                0.85644,                0.90248,                0.70581,                0.71747,                 1.9606,                0.74745,                 1.2824,              0.0057925,              0.0057925,              0.0057925
                     87,                0.58336,                0.85284,                0.50261,                 1.0224,                0.79947,                 0.7471,                0.79222,                0.60482,                0.78138,                0.73897,                0.78224,                0.57844,                0.77685,                 1.7683,                 1.2799,                 1.3298,               0.005743,               0.005743,               0.005743
                     88,                0.59689,                0.73679,                0.49305,                  1.016,                0.86189,                0.75292,                0.85049,                0.65773,                0.83578,                0.73724,                0.83242,                0.62192,                 0.7516,                 1.9809,                 1.0245,                 1.3236,              0.0056935,              0.0056935,              0.0056935
                     89,                0.61814,                0.80365,                0.49346,                 1.0316,                0.82469,                0.85696,                0.89179,                0.71384,                0.81622,                0.84879,                0.88532,                0.67644,                0.70127,                 2.1356,                0.76987,                 1.2906,               0.005644,               0.005644,               0.005644
                     90,                0.58312,                0.76892,                0.49417,                 1.0237,                0.88711,                0.79974,                0.89768,                0.70703,                0.88711,                0.79974,                0.89416,                0.68474,                0.74099,                 1.9611,                0.74067,                 1.3344,              0.0055945,              0.0055945,              0.0055945
                     91,                0.58626,                0.79402,                0.48272,                 1.0181,                0.87022,                0.82889,                0.89177,                0.71507,                 0.8484,                0.81224,                0.87266,                0.68434,                0.73435,                 1.8947,                0.72532,                 1.2946,               0.005545,               0.005545,               0.005545
                     92,                0.59926,                0.75291,                0.49125,                 1.0285,                0.88216,                0.79927,                0.88001,                0.70965,                0.85011,                0.77397,                0.85578,                0.68064,                0.73794,                 1.8173,                 0.7759,                  1.287,              0.0054955,              0.0054955,              0.0054955
                     93,                0.57826,                0.77484,                 0.5043,                 1.0289,                0.83625,                0.80849,                0.84935,                0.68012,                0.79727,                 0.7835,                0.81733,                0.65377,                0.70736,                  2.013,                0.97295,                 1.2933,               0.005446,               0.005446,               0.005446
                     94,                0.55843,                0.73814,                0.46111,                 1.0187,                0.92918,                0.83776,                0.90733,                0.73564,                0.91033,                0.82128,                0.88761,                0.71015,                 0.6952,                 1.8481,                0.71238,                 1.2487,              0.0053965,              0.0053965,              0.0053965
